web-scraper-order,web-scraper-start-url,all_list,all_list-href,business name,business description,reviews rating,phone number,website,website-href,business_address,PAGINATION,PAGINATION-href
"1595466626-67","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Trade Secret","https://www.yellowpages.com/houston-tx/mip/trade-secret-473072336","null","As the leading beauty distributor since 1992, they have national buying power that provides them with the opportunity to leverage relationships with the top professional hair care and beauty brands, and pass these savings on to the customer. They are committed to offering the lowest price on every item they sell, which means that you can shop with confidence.","null","(713) 984-1700","Visit Website","http://tradesecret.com/","900 Gessner Rd, Houston, TX 77024","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466430-15","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Eduardo's Hair Design","https://www.yellowpages.com/houston-tx/mip/eduardos-hair-design-3032354","null","null","null","(713) 641-1177","null","","12344 Gulf Fwy Ste D, Houston, TX 77034","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466453-22","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Rita Moncada Hair Designs","https://www.yellowpages.com/houston-tx/mip/rita-moncada-hair-designs-1646227","null","null","null","(281) 531-1386","null","","14520 Memorial Dr Ste 82, Houston, TX 77079","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466424-13","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","The Loc Den","https://www.yellowpages.com/houston-tx/mip/the-loc-den-462639196","null","LOC/DREADSPalm rollInterlock/latchingRepair/reconstructionNo slippage No breakage Loc Extensions!!!!!!Crocheted Locs for Str8 Hair (not Interlocking)Styles & MoreStr8, kinky or curly this is the place for YOU!Natural Styles BraidsFreestylesCornrows w/DesignsInvisiblesMicrosSenegalesesFlatTwistBantu Knots Coil/comb Twist Two strand twist Two strand flat twist Deep ConditioningSteam treatmentsStudent Discounts!","(3 Reviews)","(832) 504-1189","Visit Website","http://www.thelocden.com/","10911 Bammel North Houston Rd, Houston, TX 77086","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466382-6","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Gilded Hair & Nails Salon","https://www.yellowpages.com/houston-tx/mip/gilded-hair-nails-salon-1397868","null","Enter the hair salon with a personal experience, our salon is small but big in regard of experience and expertise. We know exactly what we are doing and what we can do for each one of our customer. We will make each hair style or hair cut just as good as you can imagine. When you come here you'll feel at home and with our friendly staff, we strive in providing exceptional service in a clean, friendly and comfortable atmosphere for you. We will make each and every visit a great experience for you, we promise.","null","(713) 462-2117","null","","9613 Kempwood Dr, Houston, TX 77080","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466516-35","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Spoiled Studio Salon","https://www.yellowpages.com/houston-tx/mip/spoiled-studio-salon-1538218","null","null","null","(713) 688-8141","null","","7400 W Tidwell Rd, Houston, TX 77040","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466768-112","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Today's Hair Styles","https://www.yellowpages.com/houston-tx/mip/todays-hair-styles-15533846","null","null","(6 Reviews)","(281) 463-8474","Visit Website","http://www.todayshairstyles.net/","6128 Highway 6 N, Houston, TX 77084","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466590-57","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","TGF Hair Salon","https://www.yellowpages.com/houston-tx/mip/tgf-hair-salon-16188688","null","TGF Hair Salon in Houston offers a full range of hair services for women and men including cuts, color, texturizing, styling and waxing-all at an affordable price. Our professional stylists will help you find a style that fits your lifestyle and looks great. Plus, shop for the shampoo, conditioner and styling products needed to keep it looking great. Stop by TGF Hair Salon at 2534 S Voss Rd at the South Voss Shopping Center today and be confident you'll get the look you want.","(1 Review)","(713) 781-7333","Visit Website","http://www.tgfhairsalons.com/","2534 S Voss Rd, Houston, TX 77057","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466528-38","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Burn's Salon","https://www.yellowpages.com/houston-tx/mip/burns-salon-472614488","null","null","null","(713) 491-7140","null","","8613 Mesa Dr, Houston, TX 77028","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466694-88","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Tori Castro Hair & Extensions","https://www.yellowpages.com/houston-tx/mip/tori-castro-hair-extensions-1035948","null","null","(3 Reviews)","(713) 869-2444","Visit Website","http://www.satorisalon.com/","2313 Edwards St, Houston, TX 77007","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466745-103","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Rachel's Hair Salon","https://www.yellowpages.com/houston-tx/mip/rachels-hair-salon-467737560","null","null","null","(281) 345-1151","Visit Website","https://www.fantasticsams.com/","15841 Fm 529 Rd, Houston, TX 77095","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466365-3","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Bae Tina","https://www.yellowpages.com/houston-tx/mip/bae-tina-1992027","null","null","null","(281) 556-1588","null","","14364 Memorial Dr, Houston, TX 77079","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466434-16","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty Salon 2002","https://www.yellowpages.com/houston-tx/mip/beauty-salon-2002-11087125","null","null","(1 Review)","(713) 514-9933","null","","95 S Lockwood Dr, Houston, TX 77011","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466584-55","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Q Salon 2","https://www.yellowpages.com/houston-tx/mip/q-salon-2-472302589","null","null","(1 Review)","(281) 855-8580","null","","17817 Fm 529 Rd, Houston, TX 77095","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466410-10","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Hair Strand","https://www.yellowpages.com/houston-tx/mip/hair-strand-30269362","null","null","null","(713) 455-7884","null","","1404 Holland St, Houston, TX 77029","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466611-62","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","All About Image The Salon","https://www.yellowpages.com/houston-tx/mip/all-about-image-the-salon-472872404","null","null","null","(855) 881-3373","null","","2189 Cypress Creek Pkwy Ste 212, Houston, TX 77090","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466762-110","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Classic Hair","https://www.yellowpages.com/houston-tx/mip/classic-hair-17388350","null","null","(5 Reviews)","(281) 376-8364","null","","21165 State Highway 249, Houston, TX 77070","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466776-115","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty Express","https://www.yellowpages.com/houston-tx/mip/beauty-express-11964140","null","null","(14 Reviews)","(713) 270-9596","null","","8282 Bellaire Blvd Ste 146, Houston, TX 77036","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466722-95","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Ranis Beauty Salon","https://www.yellowpages.com/houston-tx/mip/ranis-beauty-salon-467079928","null","null","null","(713) 665-7264","Visit Website","http://ranisbeautysalon.com/","8130 Kirby Dr, Houston, TX 77054","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466459-24","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Style Masters Of Houston","https://www.yellowpages.com/houston-tx/mip/style-masters-of-houston-4837029","null","null","null","(713) 784-4003","null","","5353 W Alabama St Ste 101, Houston, TX 77056","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466578-53","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","TGF Hair Salon","https://www.yellowpages.com/houston-tx/mip/tgf-hair-salon-474377987","null","TGF Hair Salon in Houston offers a full range of hair services for women and men including cuts, color, texturizing, styling and waxing--all at an affordable price. Our professional stylists will help you find a style that fits your lifestyle and looks great. Plus, shop for the shampoo, conditioner and styling products needed to keep it looking great. Stop by TGF Hair Salon at 111 Yale St at the Located Inside Walmart #5959 today and be confident you'll get the look you want.","null","(832) 618-1009","Visit Website","http://www.tgfhairsalons.com/","111 Yale St, Houston, TX 77007","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466455-23","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Hanna Salon","https://www.yellowpages.com/houston-tx/mip/hanna-salon-14020620","null","null","null","(713) 378-9377","null","","914 Edgebrook Dr, Houston, TX 77034","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466478-28","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Xenia's Hair Salon","https://www.yellowpages.com/houston-tx/mip/xenias-hair-salon-3265222","null","null","null","(281) 537-2040","Visit Website","http://www.xeniashairsalon.com/","3203 Cypress Creek Pkwy Ste 5, Houston, TX 77068","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466444-19","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Master Stylist Shannon Nicole Stylez of Houston","https://www.yellowpages.com/houston-tx/mip/master-stylist-shannon-nicole-stylez-of-houston-475263083","null","","(2 Reviews)","(832) 352-7625","null","","9420 Jensen Dr # 3, Houston, TX 77093","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466718-94","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Ep Natural Hair Care","https://www.yellowpages.com/houston-tx/mip/ep-natural-hair-care-22772029","null","null","null","(281) 272-7040","Visit Website","http://epnaturalhaircare.com/","10950 North Fwy, Houston, TX 77037","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466361-2","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Arte Salon","https://www.yellowpages.com/houston-tx/mip/arte-salon-1009103","null","null","null","(281) 893-3923","Visit Website","http://artesalon.com/","12002 Veterans Memorial Dr Ste E, Houston, TX 77067","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466510-33","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty Switch Hair Salon","https://www.yellowpages.com/houston-tx/mip/beauty-switch-hair-salon-4297090","null","null","null","(281) 988-9120","null","","11652 Southwest Fwy, Houston, TX 77031","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
