web-scraper-order,web-scraper-start-url,business_name,business_name-href,imageUrl,imageUrl-href,category,website,website-href,phone,address,description
"1595725736-243","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Hair Stylists","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-249","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Nail Salons","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-253","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Beauty Salons","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-241","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Beauty Salons","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-225","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Barbers","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-233","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Beauty Salons","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-226","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Beauty Salons","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-244","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Beauty Salons","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-216","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Business & Vocational Schools","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
"1595725736-218","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","SOK Salon on Kirby","https://www.yellowpages.com/houston-tx/mip/sok-salon-on-kirby-467214272","<img class=""csrp"" alt=""Sousan Med Spa"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b7204cefd62c89a017e050f79082ffb050cbd894_100x100_crop.jpg?11e4817
"" width=""100"" height=""100"">","https://www.yellowpages.com/houston-tx/mip/sousan-med-spa-1877126?lid=1001280148488#gallery","Hair Braiding","Website","https://www.salononkirby.com/","(713) 523-7521","2615 Southwest Fwy Ste 200","I had been going to The Upper Hand Salon for the past 4 years and had been going to Trish.  After the last haircut ($350 later) I had decided to…"
